5040,0.882,0.588,0.324,0.029,0.000,0.000,0.059,0.324,0.353,0.353
5126,0.000,0.000,0.714,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5157,0.000,0.533,1.000,0.000,0.000,0.000,0.000,0.200,0.133,0.000
5201,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5238,0.786,0.786,1.000,0.214,0.000,0.000,0.000,0.000,0.071,0.000
5261,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5342,0.381,0.000,0.429,0.095,0.000,0.000,0.000,0.095,0.000,0.000
5371,0.542,0.333,0.250,0.000,0.583,0.417,0.042,0.333,0.250,0.625
5372,0.556,0.222,1.000,0.111,0.000,0.000,0.000,0.833,0.611,0.000
548,0.448,0.000,0.000,1.000,0.655,0.414,0.241,0.586,0.759,0.655
5564,0.687,0.625,1.000,0.813,0.000,1.000,0.375,0.000,1.000,0.813
5569,0.000,0.556,1.000,0.667,0.444,0.222,0.222,0.000,0.111,0.000
5578,0.105,1.000,0.263,0.000,0.000,0.684,0.579,0.368,0.526,0.158
562,1.000,0.174,0.000,0.087,0.826,0.652,0.000,0.000,0.000,0.000
569,0.750,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.750,0
5786,0.792,0.333,0.000,0.000,0.000,0.625,0.000,0.000,0.000,0.417
5954,0.429,0.321,0.071,1.000,0.357,0.000,0.000,0.464,0.429,0.107
6084,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000
609,0.769,0.000,0.000,0.769,0.500,0.000,0.000,0.000,0.115,0.000
614,1.000,0.133,0.000,0.000,0.000,0.533,0.400,0.067,0.000,0.000
617,1.000,0.417,0.583,1.000,0.833,0.500,0.167,0.000,0.708,0.042
6214,0.000,0.091,0.000,1.000,0.545,0.000,0.091,0.000,0.000,0.000
6218,0.375,0.625,0.438,0.000,0.000,0.094,0.469,0.531,0.000,0.000
624,0.630,0.333,0.000,0.481,0.000,0.037,0.593,0.630,0.333,0.000
6287,0.419,0.548,0.290,0.000,0.065,0.871,0.419,0.000,0.839,0.226
6628,0.840,0.680,0.760,0.680,0.440,0.480,0.600,0.760,0.560,0.240
665,0.474,0.263,0.000,0.316,0.842,0.211,0.421,0.474,0.684,0.158
723,1.000,0.684,0.000,0.000,0.053,0.737,0.211,0.000,0.000,0.000
773,0.400,0.667,0.533,0.867,0.200,0.000,0.133,0.733,0.667,0.067
787,0.000,1.000,0.630,0.407,0.556,0.519,0.333,0.259,0.593,0.222
