3787,0.78,40,11.33
3853,3.71,42,7.21
3864,6.45,38,7.04
3867,2.90,46,8.84
3946,4.82,42,9.84
3960,3.97,41,8.93
3971,3.38,46,8.25
3972,1.40,50,7.31
3974,4.85,43,12.04
3976,2.13,46,9.46
4063,8.10,45,7.27
4086,5.72,47,9.87
4092,0.30,46,11.20
4139,10.33,41,11.57
417,1.05,0,6.32
4177,1.39,51,13.57
4185,2.08,44,6.16
4201,5.20,42,8.68
4204,3.20,49,8.74
4289,7.77,42,9.14
4290,1.65,37,9.05
4292,0.26,46,7.07
4299,9.82,46,9.44
4303,9.72,43,9.44
4315,2.50,43,8.07
4323,0.11,39,14.72
436,0.96,39.17,9.30
4404,4.76,40,6.09
4406,5.89,38,6.10
4408,10.59,46,7.77
4409,1.28,44,5.45
4412,1.01,38,6.71
4420,1.96,44,6.85
4425,3.52,43,7.92
4434,0.48,47,11.26
4496,0.95,42,4.91
4497,1.93,47,3.92
4500,0.59,47,15.99
4503,5.07,44,8.04
452,10.55,37.77,10.96
4530,0.33,37,12.87
458,10.03,44.75,7.45
4600,5.20,42,7.99
4601,13.40,43,7.96
4602,6.39,40,6.50
4604,11.70,42,8.73
461,0.55,40.61,10.72
4628,0.28,47,8.64
463,0.79,48.59,7.81
468,2.88,46.3,15.33
4696,2.09,43,6.43
4701,0.79,48,17.01
4704,2.84,40,5.54
4706,2.35,41,7.80
472,3.10,37.25,7.02
473,0.44,35.97,18.25
4744,2.10,42,7.77
4754,1.10,43,5.17
4756,0.65,41,8.85
4781,2.52,46,6.60
4817,0.85,45,8.98
4818,3.08,37,5.59
483,12.64,38.45,7.56
4831,3.02,48,9.37
4913,4.17,40,7.51
4914,1.71,39,7.39
4916,1.96,40,9.89
494,2.33,49.72,16.99
4989,2.54,45,5.30
501,1.77,38.96,24.50
5010,0.40,41,12.01
5018,1.74,46,12.28
503,3.08,46.14,30.61
504,0.45,46.3,7.83
5040,8.55,46,9.99
5105,0.10,39,13.14
5110,1.51,41,18.59
5126,1.57,43,10.76
5132,0.10,37,6.02
5137,5.58,48,9.05
5157,1.17,47,8.14
5201,1.64,40,9.03
5238,6.39,44,12.53
526,3.13,40.95,8.81
5261,3.50,38,10.92
5266,2.58,42,7.79
5311,0.29,45,13.15
5317,0.15,38,9.87
534,3.67,47.51,10.47
